id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:tx/cd:21,Texas's 21st congressional district,,,,cd-4821,,,,,,,
ocd-division/country:us/state:tx/cd:22,Texas's 22nd congressional district,,,,cd-4822,,,,,,,
ocd-division/country:us/state:tx/cd:23,Texas's 23rd congressional district,,,,cd-4823,,,,,,,
ocd-division/country:us/state:tx/cd:24,Texas's 24th congressional district,,,,cd-4824,,,,,,,
ocd-division/country:us/state:tx/cd:25,Texas's 25th congressional district,,,,cd-4825,,,,,,,
ocd-division/country:us/state:tx/cd:26,Texas's 26th congressional district,,,,cd-4826,,,,,,,
ocd-division/country:us/state:tx/cd:27,Texas's 27th congressional district,,,,cd-4827,,,,,,,
ocd-division/country:us/state:tx/cd:28,Texas's 28th congressional district,,,,cd-4828,,,,,,,
ocd-division/country:us/state:tx/cd:29,Texas's 29th congressional district,,,,cd-4829,,,,,,,
ocd-division/country:us/state:tx/cd:3,Texas's 3rd congressional district,,,,cd-4803,,,,,,,
ocd-division/country:us/state:tx/cd:30,Texas's 30th congressional district,,,,cd-4830,,,,,,,
ocd-division/country:us/state:tx/cd:31,Texas's 31st congressional district,,,,cd-4831,,,,,,,
ocd-division/country:us/state:tx/cd:32,Texas's 32nd congressional district,,,,cd-4832,,,,,,,
ocd-division/country:us/state:tx/cd:33,Texas's 33rd congressional district,,,,cd-4833,,,,,,,
ocd-division/country:us/state:tx/cd:34,Texas's 34th congressional district,,,,cd-4834,,,,,,,
ocd-division/country:us/state:tx/cd:35,Texas's 35th congressional district,,,,cd-4835,,,,,,,
ocd-division/country:us/state:tx/cd:36,Texas's 36th congressional district,,,,cd-4836,,,,,,,
ocd-division/country:us/state:tx/cd:37,Texas's 37th congressional district,,,,cd-4837,,,,,,,
ocd-division/country:us/state:tx/cd:38,Texas's 38th congressional district,,,,cd-4838,,,,,,,
ocd-division/country:us/state:tx/cd:4,Texas's 4th congressional district,,,,cd-4804,,,,,,,
ocd-division/country:us/state:tx/cd:5,Texas's 5th congressional district,,,,cd-4805,,,,,,,
ocd-division/country:us/state:tx/cd:6,Texas's 6th congressional district,,,,cd-4806,,,,,,,
ocd-division/country:us/state:tx/cd:7,Texas's 7th congressional district,,,,cd-4807,,,,,,,
ocd-division/country:us/state:tx/cd:8,Texas's 8th congressional district,,,,cd-4808,,,,,,,
ocd-division/country:us/state:tx/cd:9,Texas's 9th congressional district,,,,cd-4809,,,,,,,
ocd-division/country:us/state:nc/county:columbus/place:whiteville,Whiteville City,,,,,,,,,,,
ocd-division/country:us/state:nc/county:hertford/place:ahoskie,Ahoskie Town,,,,,,,,,,,
ocd-division/country:us/state:nc/county:hyde/place:engelhard,Engelhard unincorporated fishing community,,,,,,,,,,,
ocd-division/country:us/state:nc/county:johnston/place:benson,Benson Town,,,,,,,,,,,
ocd-division/country:us/state:nc/county:robeson/place:lumberton,Lumberton City,,,,,,,,,,,
ocd-division/country:us/state:nc/county:surry/place:elkin,Elkin Town,,,,,,,,,,,
ocd-division/country:us/state:nc/county:surry/place:mount_airy,Mount Airy Town,,,,,,,,,,,
ocd-division/country:us/state:nc/place:aberdeen,Aberdeen town,,,,place-3700160,,,,,,,
ocd-division/country:us/state:nc/place:ahoskie,Ahoskie town,,,,place-3700500,,,,,,,
ocd-division/country:us/state:nc/place:alamance,Alamance village,,,,place-3700640,,,,,,,
ocd-division/country:us/state:nc/place:albemarle,Albemarle city,,,,place-3700680,,,,,,,
ocd-division/country:us/state:nc/place:alliance,Alliance town,,,,place-3701000,,,,,,,
ocd-division/country:us/state:nc/place:andrews,Andrews town,,,,place-3701380,,,,,,,
ocd-division/country:us/state:nc/place:angier,Angier town,,,,place-3701400,,,,,,,
ocd-division/country:us/state:nc/place:ansonville,Ansonville town,,,,place-3701420,,,,,,,
ocd-division/country:us/state:nc/place:apex,Apex town,,,,place-3701520,,,,,,,
ocd-division/country:us/state:nc/place:arapahoe,Arapahoe town,,,,place-3701640,,,,,,,
ocd-division/country:us/state:nc/place:archdale,Archdale city,,,,place-3701720,,,,,,,
ocd-division/country:us/state:nc/place:archer_lodge,Archer Lodge town,,,,place-3701760,,,,,,,
ocd-division/country:us/state:nc/place:asheboro,Asheboro city,,,,place-3702080,,,,,,,
ocd-division/country:us/state:nc/place:asheville,Asheville city,,,,place-3702140,,,,,,,
ocd-division/country:us/state:nc/place:askewville,Askewville town,,,,place-3702320,,,,,,,
ocd-division/country:us/state:nc/place:atkinson,Atkinson town,,,,place-3702460,,,,,,,
ocd-division/country:us/state:nc/place:atlantic_beach,Atlantic Beach town,,,,place-3702500,,,,,,,
ocd-division/country:us/state:nc/place:aulander,Aulander town,,,,place-3702580,,,,,,,
ocd-division/country:us/state:nc/place:aurora,Aurora town,,,,place-3702620,,,,,,,
ocd-division/country:us/state:nc/place:autryville,Autryville town,,,,place-3702700,,,,,,,
ocd-division/country:us/state:nc/place:ayden,Ayden town,,,,place-3702840,,,,,,,
ocd-division/country:us/state:nc/place:badin,Badin town,,,,place-3702960,,,,,,,
ocd-division/country:us/state:nc/place:bailey,Bailey town,,,,place-3703020,,,,,,,
ocd-division/country:us/state:nc/place:bakersville,Bakersville town,,,,place-3703100,,,,,,,
ocd-division/country:us/state:nc/place:bald_head_island,Bald Head Island village,,,,place-3703150,,,,,,,
ocd-division/country:us/state:nc/place:banner_elk,Banner Elk town,,,,place-3703500,,,,,,,
ocd-division/country:us/state:nc/place:bath,Bath town,,,,place-3703840,,,,,,,
ocd-division/country:us/state:nc/place:bayboro,Bayboro town,,,,place-3703960,,,,,,,
ocd-division/country:us/state:nc/place:bear_grass,Bear Grass town,,,,place-3704180,,,,,,,
ocd-division/country:us/state:nc/place:beaufort,Beaufort town,,,,place-3704260,,,,,,,
ocd-division/country:us/state:nc/place:beech_mountain,Beech Mountain town,,,,place-3704510,,,,,,,
ocd-division/country:us/state:nc/place:belhaven,Belhaven town,,,,place-3704640,,,,,,,
ocd-division/country:us/state:nc/place:belmont,Belmont city,,,,place-3704840,,,,,,,
ocd-division/country:us/state:nc/place:belville,Belville town,,,,place-3704950,,,,,,,
ocd-division/country:us/state:nc/place:belwood,Belwood town,,,,place-3704960,,,,,,,
ocd-division/country:us/state:nc/place:benson,Benson town,,,,place-3705040,,,,,,,
ocd-division/country:us/state:nc/place:bermuda_run,Bermuda Run town,,,,place-3705135,,,,,,,
ocd-division/country:us/state:nc/place:bessemer_city,Bessemer City city,,,,place-3705220,,,,,,,
ocd-division/country:us/state:nc/place:bethania,Bethania town,,,,place-3705340,,,,,,,
ocd-division/country:us/state:nc/place:bethel,Bethel town,,,,place-3705460,,,,,,,
ocd-division/country:us/state:nc/place:beulaville,Beulaville town,,,,place-3705660,,,,,,,
ocd-division/country:us/state:nc/place:biltmore_forest,Biltmore Forest town,,,,place-3705880,,,,,,,
ocd-division/country:us/state:nc/place:biscoe,Biscoe town,,,,place-3706000,,,,,,,
ocd-division/country:us/state:nc/place:black_creek,Black Creek town,,,,place-3706080,,,,,,,
ocd-division/country:us/state:nc/place:black_mountain,Black Mountain town,,,,place-3706140,,,,,,,
ocd-division/country:us/state:nc/place:bladenboro,Bladenboro town,,,,place-3706240,,,,,,,
ocd-division/country:us/state:nc/place:blowing_rock,Blowing Rock town,,,,place-3706500,,,,,,,
ocd-division/country:us/state:nc/place:boardman,Boardman town,,,,place-3706660,,,,,,,
ocd-division/country:us/state:nc/place:bogue,Bogue town,,,,place-3706740,,,,,,,
ocd-division/country:us/state:nc/place:boiling_spring_lakes,Boiling Spring Lakes city,,,,place-3706760,,,,,,,
ocd-division/country:us/state:nc/place:boiling_springs,Boiling Springs town,,,,place-3706800,,,,,,,
ocd-division/country:us/state:nc/place:bolivia,Bolivia town,,,,place-3706820,,,,,,,
ocd-division/country:us/state:nc/place:bolton,Bolton town,,,,place-3706860,,,,,,,
ocd-division/country:us/state:nc/county:alamance,Alamance County,,,,place-37001,,,,,,,
ocd-division/country:us/state:nc/county:alexander,Alexander County,,,,place-37003,,,,,,,
